name,url,fetch_ok,bytes,parsed,error
??AI??M3U,https://raw.githubusercontent.com/PizazzGY/TV/master/output/user_result.m3u,False,0,0,<HTTPError 404: 'Not Found'>
??AI??TXT,https://raw.githubusercontent.com/PizazzGY/TV/master/output/user_result.txt,False,0,0,<HTTPError 404: 'Not Found'>
YanG??,https://raw.githubusercontent.com/YanG-1989/m3u/main/Gather.m3u,True,29341,129,
BurningC4,https://raw.githubusercontent.com/BurningC4/Chinese-IPTV/master/TV-IPV4.m3u,True,8021,58,
Kimentanm,https://raw.githubusercontent.com/Kimentanm/aptv/master/m3u/iptv.m3u,True,21946,120,
YueChan,https://raw.githubusercontent.com/YueChan/Live/main/IPTV.m3u,True,36497,0,
fanmingming IPv6,https://raw.githubusercontent.com/fanmingming/live/main/tv/m3u/ipv6.m3u,True,25215,82,
myIPTV IPv6,https://raw.githubusercontent.com/suxuang/myIPTV/refs/heads/main/ipv6.m3u,True,200521,862,
Guovin IPv4,https://raw.githubusercontent.com/Guovin/iptv-api/gd/output/ipv4/result.m3u,True,84441,377,
???,https://raw.githubusercontent.com/vamoschuck/TV/main/M3U,True,147124,789,
fanmingming??,https://live.fanmingming.cn/tv/m3u/ipv6.m3u,True,25215,82,
epg??,https://epg.pw/test_channels_hong_kong.m3u,True,28396,89,
Free-TV??,https://raw.githubusercontent.com/Free-TV/IPTV/master/playlist.m3u8,True,530377,1928,
epg??,https://epg.pw/test_channels_macau.m3u,True,6134,19,
epg???,https://epg.pw/test_channels_singapore.m3u,True,10846,35,
epg????,https://epg.pw/test_channels_malaysia.m3u,True,19498,60,
??IPTV,https://develop202.github.io/migu_video/interface.txt,True,74152,287,
iptv-org??,https://iptv-org.github.io/iptv/countries/tw.m3u,True,4354,23,
epg??,https://epg.pw/test_channels_taiwan.m3u,True,90819,290,
BigBigGrandG,https://raw.githubusercontent.com/BigBigGrandG/IPTV-URL/release/Gather.m3u,True,329793,1955,
Guovin IPv6,https://raw.githubusercontent.com/Guovin/iptv-api/gd/output/ipv6/result.m3u,True,433389,1685,
????IPV6 M3U,https://live.zbds.top/tv/iptv6.m3u,True,282,1,
????IPV6 TXT,https://live.zbds.top/tv/iptv6.txt,True,268,2,
epg??,https://epg.pw/test_channels.m3u,True,1362992,4321,
iptv-org??,https://iptv-org.github.io/iptv/index.m3u,True,2866584,13354,
????IPV4,https://live.zbds.top/tv/iptv4.txt,True,44516,558,
????IPV4 M3U,https://live.zbds.top/tv/iptv4.m3u,True,99594,443,
myIPTV IPv4,https://raw.githubusercontent.com/suxuang/myIPTV/refs/heads/main/ipv4.m3u,True,268671,1224,
Guovin??,https://raw.githubusercontent.com/Guovin/iptv-api/gd/output/result.m3u,True,449708,1799,
JackTV??,https://php.946985.filegear-sg.me/jackTV.m3u,False,0,0,<HTTPError 403: 'Forbidden'>
gitee dsy,https://gitee.com/xxy002/zhiboyuan/raw/master/dsy,False,0,0,<HTTPError 404: 'Not Found'>
?????,https://www.iyouhun.com/tv/zb,True,317880,3877,
YY??,https://gongdian.top/tv/Mursor/yylunbo.m3u,True,124828,591,
?????,https://live.freetv.top/huyayqk.m3u,True,252530,1301,
??????,https://gongdian.top/tv/Mursor/bililive.m3u,True,155209,788,
?????,https://live.freetv.top/douyuyqk.m3u,False,0,0,TimeoutError('The read operation timed out')
utako??,https://web.utako.moe/jp.m3u,False,0,0,URLError(TimeoutError('timed out'))
